2024-04-05 12:35:15,475 - INFO - Loading Traffic dataset.
2024-04-05 12:35:15,476 - INFO - Splitting the dataset in train and valid loader.
2024-04-05 12:35:15,749 - INFO - Starting the training of normal model.
2024-04-05 13:33:39,258 - INFO - Epoch [91/100], Validation Accuracy: 52.75689223057644%
2024-04-05 13:33:55,499 - INFO - Epoch 92/100, Loss: 23.0270
2024-04-05 13:33:59,412 - INFO - Epoch [92/100], Validation Accuracy: 53.7593984962406%
2024-04-05 13:34:15,568 - INFO - Epoch 93/100, Loss: 22.9763
2024-04-05 13:34:19,447 - INFO - Epoch [93/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:34:35,600 - INFO - Epoch 94/100, Loss: 22.9389
2024-04-05 13:34:39,549 - INFO - Epoch [94/100], Validation Accuracy: 53.7593984962406%
2024-04-05 13:34:55,796 - INFO - Epoch 95/100, Loss: 22.9995
2024-04-05 13:34:59,668 - INFO - Epoch [95/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:35:15,895 - INFO - Epoch 96/100, Loss: 23.0083
2024-04-05 13:35:19,778 - INFO - Epoch [96/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:35:35,998 - INFO - Epoch 97/100, Loss: 23.0013
2024-04-05 13:35:39,985 - INFO - Epoch [97/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:35:56,269 - INFO - Epoch 98/100, Loss: 23.0015
2024-04-05 13:36:00,152 - INFO - Epoch [98/100], Validation Accuracy: 53.88471177944862%
2024-04-05 13:36:16,376 - INFO - Epoch 99/100, Loss: 23.0110
2024-04-05 13:36:20,241 - INFO - Epoch [99/100], Validation Accuracy: 53.38345864661654%
2024-04-05 13:36:36,534 - INFO - Epoch 100/100, Loss: 22.9621
2024-04-05 13:36:40,415 - INFO - Epoch [100/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:36:40,415 - INFO - Finished Training
